cell	uniq_frags
3-4cell-267	2738.000000
3-4cell-268	22219.000000
3-4cell-269	23620.000000
3-4cell-27	109550.000000
3-4cell-270	20295.000000
3-4cell-271	25654.000000
3-4cell-272	15084.000000
3-4cell-273	14054.000000
3-4cell-274	30534.000000
3-4cell-275	2001.000000
3-4cell-276	35735.000000
3-4cell-277	178638.000000
3-4cell-278	188835.000000
3-4cell-279	1047.000000
3-4cell-28	159757.000000
3-4cell-280	3757.000000
3-4cell-281	176692.000000
3-4cell-282	287798.000000
3-4cell-283	279497.000000
3-4cell-284	57822.000000
3-4cell-285	235139.000000
3-4cell-286	90902.000000
3-4cell-287	38421.000000
3-4cell-288	532390.000000
3-4cell-289	198731.000000
3-4cell-29	55413.000000
3-4cell-290	382560.000000
3-4cell-291	37544.000000
3-4cell-292	252797.000000
3-4cell-293	348453.000000
3-4cell-294	285292.000000
3-4cell-295	264186.000000
3-4cell-296	10621.000000
3-4cell-297	487634.000000
3-4cell-298	4506.000000
3-4cell-299	168333.000000
3-4cell-3	91513.000000
3-4cell-30	86669.000000
3-4cell-300	38964.000000
3-4cell-301	379702.000000
3-4cell-302	3567.000000
3-4cell-303	252062.000000
3-4cell-304	576526.000000
3-4cell-305	162508.000000
3-4cell-306	2119.000000
3-4cell-307	347423.000000
3-4cell-308	320167.000000
3-4cell-309	14668.000000
3-4cell-31	69398.000000
3-4cell-310	566435.000000
3-4cell-311	278579.000000
3-4cell-312	13641.000000
3-4cell-313	72705.000000
3-4cell-314	145312.000000
3-4cell-315	9526.000000
3-4cell-316	421175.000000
3-4cell-317	30198.000000
3-4cell-318	28138.000000
3-4cell-319	31161.000000
3-4cell-32	157157.000000
3-4cell-320	16610.000000
3-4cell-321	41035.000000
3-4cell-322	30902.000000
3-4cell-323	23426.000000
3-4cell-324	14813.000000
3-4cell-325	16140.000000
3-4cell-326	28400.000000
3-4cell-327	105084.000000
3-4cell-328	1333.000000
3-4cell-329	83600.000000
3-4cell-33	50269.000000
3-4cell-330	4401.000000
3-4cell-331	24883.000000
3-4cell-34	42647.000000
3-4cell-35	50785.000000
3-4cell-36	91028.000000
3-4cell-37	168125.000000
3-4cell-38	73630.000000
3-4cell-39	61830.000000
3-4cell-4	60083.000000
3-4cell-40	9501.000000
3-4cell-41	20788.000000
3-4cell-42	108509.000000
3-4cell-43	54487.000000
3-4cell-44	51106.000000
3-4cell-45	54673.000000
3-4cell-46	70499.000000
3-4cell-47	1731.000000
3-4cell-48	24203.000000
3-4cell-49	92720.000000
3-4cell-5	81620.000000
3-4cell-50	45146.000000
3-4cell-51	65088.000000
3-4cell-52	50946.000000
3-4cell-53	61396.000000
3-4cell-54	43096.000000
3-4cell-55	77411.000000
3-4cell-56	90152.000000
3-4cell-57	76934.000000
3-4cell-58	41954.000000
3-4cell-59	71436.000000
3-4cell-6	73297.000000
3-4cell-60	6269.000000
3-4cell-61	98573.000000
3-4cell-62	5094.000000
3-4cell-63	610085.000000
3-4cell-64	1232887.000000
3-4cell-65	162678.000000
3-4cell-66	513916.000000
3-4cell-67	3874.000000
3-4cell-68	387429.000000
3-4cell-69	405162.000000
3-4cell-7	133495.000000
3-4cell-70	591587.000000
3-4cell-71	329898.000000
3-4cell-72	495026.000000
3-4cell-73	813346.000000
3-4cell-74	1026994.000000
3-4cell-75	759222.000000
3-4cell-76	385120.000000
3-4cell-77	565934.000000
3-4cell-78	569193.000000
3-4cell-79	383230.000000
3-4cell-8	85126.000000
3-4cell-80	6432.000000
3-4cell-81	688681.000000
3-4cell-82	439663.000000
3-4cell-83	13957.000000
3-4cell-84	28601.000000
3-4cell-85	20189.000000
3-4cell-86	55971.000000
3-4cell-87	26859.000000
3-4cell-88	2758.000000
3-4cell-89	78240.000000
3-4cell-9	203308.000000
3-4cell-90	75768.000000
3-4cell-91	21011.000000
3-4cell-92	4006.000000
3-4cell-93	108269.000000
3-4cell-94	16447.000000
3-4cell-95	1830.000000
3-4cell-96	47056.000000
3-4cell-97	54812.000000
3-4cell-98	34347.000000
3-4cell-99	55109.000000
8-10cell-1	51077.000000
8-10cell-10	42330.000000
8-10cell-100	47690.000000
8-10cell-101	7057.000000
8-10cell-102	8262.000000
